분야,상세분야,등록
운수영업,운임제도,6
운수영업,이용질서,18
운수영업,승차권,1
운수영업,친절,29
운수영업,불친절,
운수영업,행선지안내,6
운수영업,유실물,53
운수영업,이용안내,8
운수영업,부정승차,2
운수영업,임대사업,
운수영업,광고사업,
운수영업,기타,8
운수영업,역사안전,4
열차운행,운행시간,6
열차운행,안내방송,18
열차운행,열차안전,4
열차운행,차내청결,
열차운행,전동차 운행,5
열차운행,혼잡,1
열차운행,냉난방,2
열차운행,열차사고/지연,
열차운행,소음진동,4
열차운행,기타,7
시설이용,편의시설,10
시설이용,장애인시설물,
시설이용,안내제표,6
시설이용,승강설비,5
시설이용,역사환경,4
시설이용,화장실,3
시설이용,AFC기기,4
시설이용,안전설비,1
시설이용,토목/건축,
시설이용,안전사고,4
시설이용,기타,3
일반현황,홈페이지,3
일반현황,홍보,
일반현황,인력채용,3
일반현황,견학,
일반현황,부서/직원안내,
일반현황,자료요청,5
일반현황,타기관,
일반현황,기타,
기타,기타,26
