(코드)산업,2017년,2018년,2019년,2020년,2021년,,,,
(0001)전산업,231832202,234438588,177226650,187967352,290594120,,,,
(0002)농림어업,394812,86443,-95993,54834,376688,,,,
(0003)광업,235195,160379,117578,91253,144389,,,,
(0004)제조업,123845412,125480536,71818351,74224166,137675489,,,,
(0005)전기가스수도,7512990,2870611,1960215,7353186,-2783524,,,,
(0006)폐수처리 및 자원재활용,608223,826970,822814,890035,1001105,,,,
(0007)건설,5534688,6148033,4400359,4596537,4403030,,,,
(0008)서비스업,93700881,98865616,98203326,100757340,149776943,,,,
(1000)제조업,123845412,125480536,71818351,74224166,137675489,,,,
(1100)고위기술산업군,59364381,71469920,21497746,35163205,60473665,,,,
(1101)의약,2631564,2203314,2193990,4878351,5321750,,,,
(1102)반도체,14025158,21554259,3171385,5973399,14774546,,,,
(1103)디스플레이,4995235,540432,-1389889,331353,3927931,,,,
(1104)컴퓨터,154225,159895,-113568,92153,9139,,,,
(1105)통신기기,35731112,44430234,14848083,20766203,32480807,,,,
(1106)가전,530119,373798,520634,722051,515819,,,,
(1107)정밀기기,1307052,1241431,1427680,2146265,3067328,,,,
(1108)전지,215409,890788,580768,145839,385531,,,,
(1109)항공,-225493,75768,258663,107589,-9188,,,,
(1200)중고위기술산업군,34063748,27647532,26636538,23718434,39196691,,,,
(1201)석유화학,13866065,12009279,7121629,6902074,15371897,,,,
(1202)정밀화학,4383990,4152472,4275919,4124114,4893773,,,,
(1203)기타 전자부품,1779219,2000804,2164094,2506092,4672705,,,,
(1204)전기기기,1357479,1046193,1197871,1399645,1363085,,,,
(1205)일반목적기계,2178197,1645136,1835972,1269084,1685422,,,,
(1206)특수목적기계,4177035,3545552,3108524,3436029,4420061,,,,
(1207)자동차,6310695,3475906,7292250,3988170,6536065,,,,
(1208)철도,34424,-221420,-344505,64076,223337,,,,
(1209)기타 수송장비,-23357,-6390,-15216,29150,30345,,,,
(1300)중저위기술산업군,20713822,16167751,13444891,4592560,26499358,,,,
(1301)석유정제,7297105,4490841,2781946,-4599306,7487048,,,,
(1302)고무,348347,441272,561430,276964,-142596,,,,
(1303)플라스틱,1646352,1329298,1412198,2400651,1839151,,,,
(1304)유리,826256,686257,613091,435810,602486,,,,
(1305)세라믹,174462,203306,147010,112475,167646,,,,
(1306)시멘트,1559238,1371966,890437,1053999,1333952,,,,
(1307)기타 비금속 광물,367932,266625,307560,330530,318991,,,,
(1308)철강,5783491,5767734,4015995,2351620,13364721,,,,
(1309)비철금속,1747318,1446775,1571983,1618898,2742116,,,,
(1310)주조,123215,107679,129727,121032,134760,,,,
(1311)조립금속,1294708,1095557,1314274,1345238,1525714,,,,
(1312)조선,-454602,-1039557,-300760,-855351,-2874632,,,,
(1400)저위기술산업군,9703461,10195333,10239176,10749967,11505775,,,,
(1401)음식료,4248962,4420512,4342583,4733577,4918232,,,,
(1402)담배,1375066,1121234,1223797,1449924,1165725,,,,
(1403)섬유,580272,641203,615129,1178467,1133342,,,,
(1404)의류,1439770,1512128,1609444,971984,1762168,,,,
(1405)가죽·신발,624707,609133,710634,416988,553847,,,,
(1406)목재,172926,150507,79229,142791,243295,,,,
(1407)제지,531825,1071441,1065896,1139639,1119035,,,,
(1408)인쇄,114081,111982,133802,142747,129399,,,,
(1409)가구,329562,298657,259816,343166,287906,,,,
(1410)기타 제조업,286289,258537,198846,230683,192827,,,,
(2000)서비스업,93700881,98865616,98203326,100757340,149776943,,,,
(2100)유통서비스,20427513,18806175,18912969,19222889,38100805,,,,
(2101)도·소매업,14879111,14201205,14804203,14499195,18814420,,,,
(2102)운수·보관,5548402,4604970,4108766,4723695,19286385,,,,
(2200)생산자서비스,70829103,77416308,76145385,81598630,109295381,,,,
(2201)출판,4506877,4776354,5290476,5017358,4761866,,,,
(2202)방송,486306,289171,243615,419359,552630,,,,
(2203)통신,3610095,3050347,2595922,2895210,3309719,,,,
(2204)정보,2693155,3157002,3470935,3869442,7750060,,,,
(2205)금융·보험,39872640,45199815,45339610,49862953,67167191,,,,
(2206)부동산,11414745,12140796,10164415,10311897,14368974,,,,
(2207)임대,351546,412268,419936,486442,725172,,,,
(2208)전문·과학기술,6543164,7129301,7141751,7628750,9605491,,,,
(2209)사업시설관리서비스,489330,483324,547776,526304,520938,,,,
(2210)사업지원,861245,777932,930949,580916,533338,,,,
(2300)사회서비스,188551,258421,229781,62649,160122,,,,
(2302)공공교육,-1675,343,-970,-12007,-1775,,,,
(2303)교육,197211,258784,234689,86532,178433,,,,
(2304)의료·보건,-1832,1077,0,0,0,,,,
(2305)사회복지,-5152,-1783,-3938,-11876,-16536,,,,
(2400)개인서비스,2255714,2384712,2915192,-126828,2220635,,,,
(2401)숙박·음식점,500670,690130,1067662,-1001046,22418,,,,
(2402)예술·스포츠·여가,1189861,1171096,1366460,459176,1744617,,,,
(2403)기타 서비스,565183,523485,481070,415042,453600,,,,
분석정보 : 영업이익(산업별),,,,,,,,,
,,,,,,,,,
테이블명,영업이익(산업별),,,,,,,,
주기,[년],,,,,,,,
탑재기간,1994~2021,,,,,,,,
업데이트 일자,2022-07-19,,,,,,,,
비고,ㅇ 원출처 : KISVALUEㅇ 최근연도 외감기업 기준,,,,,,,,
단위,백만 원,,,,,,,,
