(코드)산업,2020년,2021년,,,,,,,
(0001)전산업,187967352,290594120,,,,,,,
(0002)농림어업,54834,376688,,,,,,,
(0003)광업,91253,144389,,,,,,,
(0004)제조업,74224166,137675489,,,,,,,
(0005)전기가스수도,7353186,-2783524,,,,,,,
(0006)폐수처리 및 자원재활용,890035,1001105,,,,,,,
(0007)건설,4596537,4403030,,,,,,,
(0008)서비스업,100757340,149776943,,,,,,,
(1000)제조업,74224166,137675489,,,,,,,
(1100)고위기술산업군,35163205,60473665,,,,,,,
(1101)의약,4878351,5321750,,,,,,,
(1102)반도체,5973399,14774546,,,,,,,
(1103)디스플레이,331353,3927931,,,,,,,
(1104)컴퓨터,92153,9139,,,,,,,
(1105)통신기기,20766203,32480807,,,,,,,
(1106)가전,722051,515819,,,,,,,
(1107)정밀기기,2146265,3067328,,,,,,,
(1108)전지,145839,385531,,,,,,,
(1109)항공,107589,-9188,,,,,,,
(1200)중고위기술산업군,23718434,39196691,,,,,,,
(1201)석유화학,6902074,15371897,,,,,,,
(1202)정밀화학,4124114,4893773,,,,,,,
(1203)기타 전자부품,2506092,4672705,,,,,,,
(1204)전기기기,1399645,1363085,,,,,,,
(1205)일반목적기계,1269084,1685422,,,,,,,
(1206)특수목적기계,3436029,4420061,,,,,,,
(1207)자동차,3988170,6536065,,,,,,,
(1208)철도,64076,223337,,,,,,,
(1209)기타 수송장비,29150,30345,,,,,,,
(1300)중저위기술산업군,4592560,26499358,,,,,,,
(1301)석유정제,-4599306,7487048,,,,,,,
(1302)고무,276964,-142596,,,,,,,
(1303)플라스틱,2400651,1839151,,,,,,,
(1304)유리,435810,602486,,,,,,,
(1305)세라믹,112475,167646,,,,,,,
(1306)시멘트,1053999,1333952,,,,,,,
(1307)기타 비금속 광물,330530,318991,,,,,,,
(1308)철강,2351620,13364721,,,,,,,
(1309)비철금속,1618898,2742116,,,,,,,
(1310)주조,121032,134760,,,,,,,
(1311)조립금속,1345238,1525714,,,,,,,
(1312)조선,-855351,-2874632,,,,,,,
(1400)저위기술산업군,10749967,11505775,,,,,,,
(1401)음식료,4733577,4918232,,,,,,,
(1402)담배,1449924,1165725,,,,,,,
(1403)섬유,1178467,1133342,,,,,,,
(1404)의류,971984,1762168,,,,,,,
(1405)가죽·신발,416988,553847,,,,,,,
(1406)목재,142791,243295,,,,,,,
(1407)제지,1139639,1119035,,,,,,,
(1408)인쇄,142747,129399,,,,,,,
(1409)가구,343166,287906,,,,,,,
(1410)기타 제조업,230683,192827,,,,,,,
(2000)서비스업,100757340,149776943,,,,,,,
(2100)유통서비스,19222889,38100805,,,,,,,
(2101)도·소매업,14499195,18814420,,,,,,,
(2102)운수·보관,4723695,19286385,,,,,,,
(2200)생산자서비스,81598630,109295381,,,,,,,
(2201)출판,5017358,4761866,,,,,,,
(2202)방송,419359,552630,,,,,,,
(2203)통신,2895210,3309719,,,,,,,
(2204)정보,3869442,7750060,,,,,,,
(2205)금융·보험,49862953,67167191,,,,,,,
(2206)부동산,10311897,14368974,,,,,,,
(2207)임대,486442,725172,,,,,,,
(2208)전문·과학기술,7628750,9605491,,,,,,,
(2209)사업시설관리서비스,526304,520938,,,,,,,
(2210)사업지원,580916,533338,,,,,,,
(2300)사회서비스,62649,160122,,,,,,,
(2302)공공교육,-12007,-1775,,,,,,,
(2303)교육,86532,178433,,,,,,,
(2304)의료·보건,0,0,,,,,,,
(2305)사회복지,-11876,-16536,,,,,,,
(2400)개인서비스,-126828,2220635,,,,,,,
(2401)숙박·음식점,-1001046,22418,,,,,,,
(2402)예술·스포츠·여가,459176,1744617,,,,,,,
(2403)기타 서비스,415042,453600,,,,,,,
분석정보 : 영업이익(산업별),,,,,,,,,
,,,,,,,,,
테이블명,영업이익(산업별),,,,,,,,
주기,[년],,,,,,,,
탑재기간,1994~2021,,,,,,,,
업데이트 일자,2022-07-19,,,,,,,,
비고,ㅇ 원출처 : KISVALUEㅇ 최근연도 외감기업 기준,,,,,,,,
단위,백만 원,,,,,,,,
