,냉면,비빔밥,김치찌개백반,자장면,삼계탕,칼국수,김밥,삼겹살
0,7981.8125,7694.6875,6685.25,5171.0625,13387.125,6654.125,2272.3125,13998.9375
1,8008.875,7706.3125,6692.25,5172.0625,13396.5,6664.9375,2288.25,13927.25
2,8004.75,7707.4375,6682.875,5179.5625,13396.5,6681.75,2303.4375,13954.5
3,8004.8125,7702.375,6689.125,5175.6875,13406.125,6681.75,2312.125,13953.5625
4,8036.3125,7722.8125,6695.0625,5170.5,13406.125,6647.5,2318.125,14005.375
5,8036.3125,7722.8125,6695.0625,5170.5,13406.125,6647.5,2318.125,14005.375
6,8099.6875,7725.25,6724.75,5185.0,13426.8125,6649.875,2325.375,14021.3125
7,8102.125,7690.125,6733.75,5196.0625,13395.5625,6665.5,2328.5,14015.1875
8,8146.5625,7720.125,6740.0,5203.6875,13406.0,6677.625,2329.6875,14052.0625
9,8134.75,7733.5625,6784.75,5232.5625,13462.0625,6704.0625,2338.9375,14132.9375
10,8126.375,7771.9375,6771.5625,5238.375,13471.6875,6740.0625,2346.8125,14162.9375
11,8147.25,7784.0625,6771.5625,5244.625,13465.125,6749.625,2346.8125,14161.8125
12,8159.625,7833.625,6830.375,5269.0625,13474.0625,6755.875,2367.375,14185.6875
13,8148.3125,7839.6875,6832.8125,5306.9375,13495.9375,6776.9375,2387.6875,14202.5625
14,8206.9375,7871.625,6857.3125,5326.125,13534.0625,6828.3125,2407.4375,14247.5
15,8232.1875,7932.125,6857.3125,5352.1875,13559.375,6837.625,2419.25,14276.6875
16,8271.625,8019.0625,6880.125,5366.9375,13577.875,6847.8125,2423.5625,14289.0625
17,8297.375,8030.75,6888.5625,5366.9375,13553.8125,6855.25,2446.125,14314.3125
18,8324.6875,8103.0625,6910.6875,5371.0625,13611.9375,6898.9375,2454.0625,14321.1875
19,8386.625,8126.875,6935.4375,5375.8125,13671.875,6917.6875,2457.1875,14380.1875
20,8398.875,8143.0,6977.4375,5399.5,13711.6875,6945.6875,2468.125,14517.0625
21,8432.0625,8176.6875,7005.5625,5432.3125,13730.4375,6962.1875,2476.375,14545.625
22,8566.75,8221.75,7037.3125,5482.4375,13801.1875,7015.6875,2506.3125,14699.3125
23,8601.6875,8297.5,7075.0625,5539.4375,13780.125,7041.3125,2564.875,14820.5625
24,8676.8125,8333.5625,7166.5625,5651.875,13885.25,7150.9375,2603.875,14924.8125
25,8779.4375,8368.8125,7194.0625,5747.375,13981.375,7273.125,2631.75,15005.375
26,8870.375,8377.0625,7225.3125,5804.75,14026.4375,7339.5,2658.0625,15081.5625
27,9000.9375,8439.25,7293.0,5858.9375,14130.8125,7379.25,2682.875,15101.5
28,9028.3125,8541.4375,7367.125,5943.0625,14224.375,7478.125,2702.0,15351.0625
29,9119.3125,8613.625,7454.4375,6011.1875,14356.6875,7580.125,2743.4375,15655.4375
