번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9962,9308,7154,14462,17159,5769,14500,7962,2808
2,광주,8400,8700,7100,13000,13600,5800,14800,7800,2800
3,대구,9417,8283,6833,10250,14043,5500,14500,6333,2500
4,대전,8800,9400,6900,13600,17117,5800,13200,6400,2700
5,부산,9714,7857,6857,10214,14608,5714,14143,6357,2500
6,울산,8300,8400,7200,8800,14969,5900,13200,7600,2700
7,인천,9333,7817,6750,14317,15830,5917,14167,7167,2667
8,강원,8500,8500,7389,13222,13407,5722,13444,7944,2500
9,경기,8966,7910,7121,14224,15654,5828,14414,7707,2821
10,경남,9038,7615,7423,10215,15615,5423,14462,6654,3138
11,경북,8423,7838,7115,9154,14264,5577,13308,7077,2615
12,전남,7889,7944,6667,13333,16139,6222,15000,7333,2200
13,전북,8300,9550,7600,13300,14490,5600,14600,7450,2480
14,충남,8500,8450,7300,13800,14861,5900,14000,7300,2500
15,충북,7929,7829,7571,12857,12663,5286,12714,6786,2429
16,제주,9000,8500,8125,15250,15667,6000,13250,8500,2750
