외식업종별(1),외식업종별(2),2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4
현재지수,소계,59.76,64.11,61.21,59.33,67.26,69.84,65.72,70.34,70.84,85.56
한식 음식점업,소계,59.33,63.78,61.14,57.26,67.35,69.12,63.84,69.83,68.8,84.37
한식 음식점업,한식 일반 음식점업,58.96,60.21,59.41,55.49,67.2,68.03,65.14,71.32,69.1,81.11
한식 음식점업,한식 면요리 전문점,61.28,70.71,65.41,59.77,64.67,66.3,65.62,67.68,69.56,84.1
한식 음식점업,한식 육류요리 전문점,60.12,66.67,64.38,60.71,69.11,73.22,60.55,67.18,68.58,81.56
한식 음식점업,한식 해산물요리 전문점,57.43,64.44,57.87,56.47,65.94,68.03,62.36,68.54,66.79,87.49
외국식 음식점업,중식 음식점업,63.89,73.61,66.37,65.62,65.47,69.97,65.11,69.35,74.13,80.4
외국식 음식점업,일식 음식점업,57.88,65.37,62.62,60.06,74.41,75.47,70.42,72.01,73.37,87.19
외국식 음식점업,서양식 음식점업,62.37,66.43,62.08,61.13,76.89,74.63,74.18,81.45,75.62,93.76
외국식 음식점업,기타 외국식 음식점업,55.26,57.35,59.23,56.67,70.51,84.83,77.54,89.54,81.73,96.71
기관구내 식당업,소계,72.5,66.12,71.95,75.25,81.1,82.27,80.69,86.61,87.8,87.8
출장음식 서비스업,소계,55.11,58.33,57.64,52.27,60.76,67.26,74.24,67.6,78.47,78.47
기타 간이 음식점업,제과점업,66.32,68.8,64.9,64.08,76.52,79.84,73.13,77.24,86.45,76.79
기타 간이 음식점업,피자 햄버거 샌드위치 및 유사 음식점업,71.98,78.57,69.83,71.82,74.97,78.71,76.67,76.77,82.24,82.24
기타 간이 음식점업,치킨 전문점,68.79,67.53,68.17,66.91,62.99,69.84,68.64,71.07,71.08,75.62
기타 간이 음식점업,김밥 및 기타 간이 음식점업,58.56,65.26,61.58,59.26,70.04,72.33,68.43,69.61,72.85,82.97
기타 간이 음식점업,간이 음식 포장 판매 전문점,54.46,60.29,56.71,56.51,63.61,71.76,65.18,63.15,73.1,81.11
주점업,소계,52.68,56.68,54.25,52.13,57.89,59.64,56.79,63.18,63.18,92.04
주점업,일반 유흥 주점업,52.17,51.94,53.64,51.04,56.92,60.73,58.51,62.83,64.01,
주점업,무도 유흥 주점업,51.85,54.46,52.27,50,52.87,56.73,52.01,59.22,62.42,
주점업,생맥주 전문점,53.12,57.59,53.73,52.03,54.71,57.3,53.45,65.09,63.19,103.34
주점업,기타 주점업,52.93,58.68,54.61,52.58,58.74,59.53,56.6,63.21,62.87,90.66
비알콜 음료점업,소계,57.93,61.65,57.54,56.14,71.61,75.39,72.33,73.95,75.19,89.11
비알콜 음료점업,커피 전문점,58.72,63.9,58.52,57.37,73.96,77.45,74.04,74.83,77.41,92.23
비알콜 음료점업,기타 비알콜 음료점업,55.62,56.36,54.79,53.73,61.38,66.4,64.87,70.13,65.54,75.5
